Date,Price,Open,High,Low,Vol.,Change %
"Jan 08, 2010",121.4,121.28,121.84,121.19,823.86K,-0.03%
"Jan 07, 2010",121.44,121.16,121.49,121.11,729.66K,0.17%
"Jan 06, 2010",121.23,121.36,121.48,121.15,581.66K,-0.17%
"Jan 05, 2010",121.44,121.29,121.6,121.1,590.70K,0.08%
"Jan 04, 2010",121.34,120.99,121.42,120.84,469.43K,0.12%
"Dec 30, 2009",121.19,121.5,121.57,121.02,261.38K,-0.25%
"Dec 29, 2009",121.49,121.28,121.63,121.26,215.25K,0.06%
"Dec 28, 2009",121.42,121.4,121.7,121.28,109.86K,-0.39%
"Dec 23, 2009",121.89,122.13,122.34,121.68,311.00K,-0.38%
"Dec 22, 2009",122.36,122.66,122.71,122.22,424.45K,-0.55%
"Dec 21, 2009",123.04,123.43,123.53,122.85,328.86K,-0.40%
"Dec 18, 2009",123.54,123.41,123.66,123.3,357.73K,0.11%
"Dec 17, 2009",123.4,122.7,123.54,122.69,592.25K,0.50%
"Dec 16, 2009",122.78,122.55,122.99,122.11,655.85K,0.24%
"Dec 15, 2009",122.48,122.94,123.09,122.37,704.57K,-0.40%
"Dec 14, 2009",122.97,122.72,123.13,122.61,465.81K,0.23%
"Dec 11, 2009",122.69,122.98,123,122.55,574.61K,-0.34%
"Dec 10, 2009",123.11,123.41,123.45,122.93,609.04K,-0.32%
"Dec 09, 2009",123.51,123.32,123.72,123.22,564.92K,-0.05%
"Dec 08, 2009",123.57,123.22,123.64,123.1,36.29K,0.34%
"Dec 07, 2009",123.15,122.84,123.24,122.81,491.20K,0.33%
"Dec 04, 2009",122.74,123.37,123.47,122.58,1.44M,-0.50%
"Dec 03, 2009",123.36,123.23,123.44,122.92,1.21M,-0.16%
"Dec 02, 2009",123.56,123.32,123.61,123.25,1.04M,-0.08%
"Dec 01, 2009",123.66,123.75,123.8,123.34,961.63K,0.02%
"Nov 30, 2009",123.63,123.56,123.77,123.44,724.90K,0.12%
"Nov 27, 2009",123.48,123.76,124.06,123.3,891.24K,-0.05%
"Nov 26, 2009",123.54,122.88,123.75,122.84,674.28K,0.73%
"Nov 25, 2009",122.65,122.8,122.89,122.53,646.06K,-0.06%
"Nov 24, 2009",122.72,122.68,122.82,122.48,621.75K,0.22%
"Nov 23, 2009",122.45,122.56,122.59,122.27,470.35K,-0.09%
"Nov 20, 2009",122.56,122.49,122.7,122.21,680.05K,0.07%
"Nov 19, 2009",122.48,122.24,122.5,122.06,706.53K,0.20%
"Nov 18, 2009",122.24,122.31,122.34,121.92,619.01K,0.00%
"Nov 17, 2009",122.24,122.04,122.34,121.82,720.79K,0.35%
"Nov 16, 2009",121.81,121.38,122.12,121.33,638.19K,0.40%
"Nov 13, 2009",121.32,121.54,121.79,121.16,792.88K,-0.20%
"Nov 12, 2009",121.56,121.7,121.96,121.2,811.16K,-0.12%
"Nov 11, 2009",121.71,121.58,121.76,121.24,603.33K,-0.01%
"Nov 10, 2009",121.72,121.29,121.81,121.18,700.80K,0.32%
"Nov 09, 2009",121.33,120.73,121.39,120.71,540.30K,0.31%
"Nov 06, 2009",120.95,121.13,121.36,120.72,844.86K,-0.05%
"Nov 05, 2009",121.01,121.12,121.45,120.66,993.46K,-0.20%
"Nov 04, 2009",121.25,121.6,121.62,120.91,706.57K,-0.41%
"Nov 03, 2009",121.75,121.94,122.44,121.45,909.55K,-0.13%
"Nov 02, 2009",121.91,121.98,122.12,121.77,646.77K,0.01%
"Oct 30, 2009",121.9,121.2,122.14,121.2,918.98K,0.57%
"Oct 29, 2009",121.21,121.81,121.82,120.98,912.09K,-0.38%
"Oct 28, 2009",121.67,121.5,121.8,121.36,749.11K,0.12%
"Oct 27, 2009",121.52,120.78,121.66,120.72,877.98K,0.57%
"Oct 26, 2009",120.83,120.69,120.94,120.51,719.98K,-0.01%
"Oct 23, 2009",120.84,120.97,121.15,120.74,722.86K,-0.29%
"Oct 22, 2009",121.19,121.16,121.43,121.01,745.11K,0.02%
"Oct 21, 2009",121.16,121.75,121.84,120.95,983.61K,-0.54%
"Oct 20, 2009",121.82,121.28,122.04,121.25,949.25K,0.43%
"Oct 19, 2009",121.3,121.34,121.46,121.1,436.37K,-0.13%
"Oct 16, 2009",121.46,121.25,121.58,121.06,767.76K,0.02%
